authorID,name,location,reviewCount,friendCount,photoCount
82b9RZmDxsZXAqCx5ctalg,Eric M.,"Cleveland, OH",7,1,3
FHzNdJsvoTADQ031hacdlA,Dene B.,"Chicago, IL",78,76,26
A2IeQ1NCXdO_CIGektTE0A,Naomi Y.,"Chicago, IL",24,289,105
CfKT4Pr7QYIUlcq4fnKfgg,Clara S.,"Chicago, IL",597,337,958
mNXD6NMrIaJELMINSyP9_Q,Claire K.,"Chicago, IL",120,338,213
pc3Zi3gdug55rD4chvlCVQ,Katarina D.,"Minneapolis, MN",47,219,21
fVOwE7_6UsZkOaignZyv7Q,Haley K.,"Chicago, IL",22,418,0
jWUJsIt9FPwNYsl3ckJSoA,Rachel S.,"Chicago, IL",711,250,724
vUthM37V1IkWqy2laAzuhw,Stacy P.,"Chicago, IL",200,1939,3443
KWXVMVVvFAwvwyJCOW1FHg,Cory K.,"Austin, TX",232,79,37
9EolExE4IjJsBxHiS_pNSA,Ara H.,"Chicago, IL",141,11,0
0e7mJkqVDetJI44SWTSxDg,Peter F.,"Burlington, VT",60,70,16
vZyXbzzxMCbrP_PpI3c_6w,Janice M.,"Chicago, IL",151,180,355
CXniy1vTyAJDWdFgkGRjYg,Chris W.,"Wheeling, IL",283,26,79
bNB4HPvRMDYY79Dc9MgVkg,Neuy D.,"Chicago, IL",416,36,3
Xw0W2_TD_lKrxGSRT-EZPA,Judith P.,"Chicago, IL",38,126,65
Ywu4a-4fmeg9HTT5KNXnWg,Kristin L.,"Chicago, IL",272,563,1741
k97c4eriYUeMG_cGw8rYLQ,Bailey M.,"Bloomingdale, IL",429,237,851
bWyZZxJtbngmNGhEQ1isbA,Rhonda F.,"Chicago, IL",207,593,722
8JV4l83XnPhaNN2jrdLQPQ,Lawrence L.,"Chicago, IL",2,0,0
QnIrewrXxFnssw_gG1gF-Q,Sarah S.,"Chicago, IL",2469,4474,15545
xdHM5YCDlHVFTPOPWESwMw,Karen Q.,"Chicago, IL",255,57,426
0iG_uwGjGzHrXV9FoxLCNg,Mironda R.,"Chicago, IL",316,95,600
